Plot,Ecosystem,Transect,TerrType,ACERUB,ACESAC,BETALL,CARCAR,CARCOR,CAROVA,CORFLO,CRAPUN,FAGAME,FRAAME,FRANIG,HAMVIR,LINBEN,LIRTUP,NYSSYL,OSTVIR,PRUSER,QUEALB,QUEBIC,QUEPAL,QUERUB,TILAME,ULMAME,ULMRUB,total
3,R,Edge,RBD,,0.6,,0.266666667,,1,,0.666666667,,0.230769231,1,,,,,,0,,,,,,1,,0.434782609
6,B,Core,B,0,,,0.363636364,,0.333333333,1,0,,0.153846154,0.4,,,,,,0,,0,,0,,0.25,,0.31147541
7,B,Edge,BR,0,0.446808511,,0.142857143,0.5,0,0,0.5,0.102040816,0.4,,0,,,,,0.457142857,,,,1,,,,0.300613497
9,U,Core,U,,0.509090909,0.142857143,,,0.125,,,0.225,0.045454545,,,,,,0,0.5,,,,0,,,,0.301470588
11,B,Edge,BUR,1,0.083333333,,0.15,0.333333333,0.230769231,,,0.097560976,1,0.146341463,,,,,1,1,,,,0,0,,,0.148387097
15,UDR,Trans,T-UR,,,,,,,,,0,,,,,,,,,,,,,,,,0
20,R,Edge,RU,1,0.5,0,0.666666667,,0.5,,,0.384615385,0.178571429,,,0.5,,,,0,0,,1,0.125,,,0,0.271428571
23,R,Edge,RU,,1,,0,0,1,0,,,0.204081633,,,,,,,,,,,0.25,,,,0.25
A3/4,B,Core,B,,0.875,,0.368421053,,0.5,0.75,,0.214285714,0.416666667,,0.3,,,,,0.384615385,,,,0,,,,0.389830508
D3/4,R,Core,R,,0,,1,0,0.333333333,,0.5,,0.307692308,,,0.111111111,,,,,,,,0.25,0.2,0,,0.228070175
E3/4,U,Core,U,,0.571428571,,0.333333333,,0.5,,0.166666667,0.133333333,0.305084746,,0.272727273,,,,,0.176470588,,,,,,,,0.280991736
E5/6,U,Core,U,,,,0,,,0.5,,0.109489051,,,,0,,,,0,,,,,,,,0.118055556
G1/2,U,Core,U,1,0.375,,0.375,0,0.285714286,0,0.714285714,0.4,0.325581395,0,0.5,0.4,,,,0.909090909,,,,0.375,,,,0.433333333
G3/4,U,Core,U,0,0.333333333,,0.333333333,,0.25,0.083333333,0,0,0.230769231,,0.392857143,0,,,,0.145833333,,,,0.36,,,,0.23943662
H1/2,R,Core,R,,0.365217391,,,,0.363636364,0.2,,0,0,,0.6,,,,,,,,,1,,0.5,,0.364341085
I1/2,R,Edge,RBD,,0.25,,0.5,,0.5,,1,0.428571429,1,1,0.580645161,,,,,0.333333333,,,,1,,,,0.565217391
K5/6,U,Edge,UB,,0,,0,,,,,0.2,,,,0,,,,,,,,,,,,0.090909091
L1/2,B,Edge,BU,1,0.777777778,,0.387096774,0.6,0.3125,0,0.666666667,0.111111111,0.388888889,0.4,,0.2,,,,1,,,,0.2,0.333333333,0.5,,0.351190476
L3/4,UB,Trans,T-UB,0.083333333,0.289473684,,0,,1,1,,0.220472441,0.283018868,,,,1,,,,,,,0,0,,,0.256227758
P1/2,R,Edge,RU,0,0,,0,1,0.75,,,0,,,1,0.25,,,,1,,,,0.676470588,,,,0.53968254
Q1/2,U,Edge,UR,1,0.260869565,1,,0,0.294117647,,0.625,0.428571429,0.666666667,,0,0,,0,,0,1,,,0.5,,,,0.375
Q5/6,R,Edge,RU,,0.192982456,,0,0.181818182,0,0,0,0.090909091,0.2,,0,,,,,,,,,0,,,0,0.155737705
R2,R,Core,R,,0.333333333,,0.333333333,0.5,0.5,,1,0.2,0.2,0,0.25,,,,,,,,,0,,0.25,,0.320754717
R4,R,Core,R,,,,,0.333333333,1,,,,0.75,1,,0.5,,,,1,,,,0.833333333,,,,0.666666667
S1,R,Core,R,0.333333333,0.419354839,,0.3,0.195652174,0.277777778,0,0.25,0.111111111,0.260416667,0.5,0.2,0,,,,0.333333333,,,,0,0,,0.5,0.238095238
